screenshot,path,profile,pass_threshold,avg_score,failed_count,failed_criteria,weakest_criteria,gd_composition,gd_hierarchy,gd_spacing,gd_typography,gd_contrast,gd_color,gd_image,gd_restraint,gd_rhythm,gd_identity,mkt_headline,mkt_value,mkt_cta,mkt_flow,mkt_diff,mkt_trust,mkt_luxury,mkt_clientfit,mkt_concision,mkt_emotion,ind_aviation,ind_maintenance,ind_owner,ind_flightdept,ind_ops,ind_facility,ind_hospitality,ind_discretion,ind_readiness,ind_return
about-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-01.png,hero_about,8.0,8.23,0,,gd_rhythm:8.1; gd_composition:8.2; gd_hierarchy:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.4,8.2,8.1,8.5,8.4,8.3,8.2,8.2,8.2,8.2,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.3,8.2,8.2
about-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-02.png,values,8.0,8.35,0,,gd_hierarchy:8.3; gd_spacing:8.3; gd_typography:8.3,8.6,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.3,8.8,8.3,8.3,8.4,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.6,8.3,8.3
about-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-03.png,about_principles,8.0,8.44,0,,gd_hierarchy:8.4; gd_spacing:8.4; gd_typography:8.4,8.6,8.4,8.4,8.4,8.4,8.4,8.5,8.4,8.4,8.4,8.4,8.7,8.4,8.4,8.4,8.7,8.5,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.6,8.4,8.4
about-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-04.png,manifesto,8.0,8.35,0,,gd_composition:8.3; gd_hierarchy:8.3; gd_spacing:8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.6,8.6,8.7,8.3,8.3,8.3,8.3,8.5,8.3,8.3,8.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.3,8.3
about-05.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-05.png,practice,8.0,8.17,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.5,8.1,8.6,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.5,8.1,8.1,8.7
about-06.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-06.png,close,8.0,8.15,0,,gd_composition:8.1; gd_hierarchy:8.1; gd_spacing:8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.2,8.1,8.3,8.6,8.4,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
about-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-full-desktop.png,full_desktop,8.0,8.14,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.4,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
about-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-full-mobile.png,full_mobile,8.0,8.02,0,,gd_hierarchy:8.0; gd_typography:8.0; gd_contrast:8.0,8.1,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
capabilities-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-01.png,hero_capabilities,8.0,8.37,0,,gd_composition:8.3; gd_hierarchy:8.3; gd_spacing:8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.3,8.3,8.4,8.4,8.4,8.3,8.3,8.3,8.6,8.3,8.3,8.3,8.3,8.3,8.7,8.3,8.3,8.8,8.6,8.3,8.3,8.3,8.3
capabilities-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-02.png,systems_board,8.0,8.36,0,,gd_hierarchy:8.3; gd_spacing:8.3; gd_typography:8.3,8.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.7,8.3,8.3,8.3,8.3,8.3,8.8,8.3,8.3,8.8,8.4,8.3,8.3,8.3,8.3
capabilities-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-03.png,ops_matrix,8.0,8.46,0,,gd_hierarchy:8.4; gd_spacing:8.4; gd_typography:8.4,8.6,8.4,8.4,8.4,8.4,8.4,8.5,8.4,8.4,8.4,8.4,8.5,8.4,8.4,8.4,8.7,8.4,8.4,8.4,8.4,8.4,8.8,8.4,8.4,8.9,8.7,8.4,8.4,8.4,8.4
capabilities-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-04.png,image_band,8.0,8.26,0,,gd_hierarchy:8.2; gd_spacing:8.2; gd_typography:8.2,8.5,8.2,8.2,8.2,8.2,8.2,8.8,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.4,8.5,8.2,8.2,8.2,8.2,8.6,8.2,8.2,8.2,8.2
capabilities-05.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-05.png,facility_brief,8.0,8.25,0,,gd_hierarchy:8.2; gd_spacing:8.2; gd_typography:8.2,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.5,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.8,8.5,8.4,8.2,8.2
capabilities-06.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-06.png,capability_proof,8.0,8.25,0,,gd_hierarchy:8.2; gd_spacing:8.2; gd_typography:8.2,8.4,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.3,8.6,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.5,8.5,8.2,8.2,8.2,8.4
capabilities-07.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-07.png,close,8.0,8.15,0,,gd_composition:8.1; gd_hierarchy:8.1; gd_spacing:8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.2,8.1,8.3,8.6,8.4,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
capabilities-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-full-desktop.png,full_desktop,8.0,8.14,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.4,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
capabilities-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-full-mobile.png,full_mobile,8.0,8.02,0,,gd_hierarchy:8.0; gd_typography:8.0; gd_contrast:8.0,8.1,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
contact-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/contact-01.png,hero_contact,8.0,8.26,0,,gd_composition:8.2; gd_hierarchy:8.2; gd_spacing:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.4,8.2,8.2,8.2,8.2,8.4,8.7,8.6,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.3,8.3,8.2,8.2,8.2,8.2,8.5,8.2
contact-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/contact-02.png,intake_console,8.0,8.38,0,,gd_hierarchy:8.3; gd_spacing:8.3; gd_typography:8.3,8.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.8,8.8,8.3,8.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.7,8.3,8.6,8.3
contact-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/contact-03.png,contact_flow,8.0,8.17,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.5,8.8,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.4,8.1,8.1,8.1,8.6,8.1
contact-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/contact-04.png,close,8.0,8.15,0,,gd_composition:8.1; gd_hierarchy:8.1; gd_spacing:8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.2,8.1,8.3,8.6,8.4,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
contact-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/contact-full-desktop.png,full_desktop,8.0,8.14,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.4,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
contact-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/contact-full-mobile.png,full_mobile,8.0,8.02,0,,gd_hierarchy:8.0; gd_typography:8.0; gd_contrast:8.0,8.1,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
credits-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/credits-01.png,hero_credits,8.0,8.04,0,,gd_composition:8.0; gd_hierarchy:8.0; gd_spacing:8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.4,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.0,8.4,8.0,8.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
credits-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/credits-02.png,credits_sources,8.0,8.05,0,,gd_hierarchy:8.0; gd_spacing:8.0; gd_typography:8.0,8.2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.3,8.0,8.0,8.6,8.0,8.3,8.0,8.0,8.0,8.0,8.2,8.0,8.0,8.0,8.0
credits-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/credits-full-desktop.png,full_desktop,8.0,8.14,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.4,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
credits-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/credits-full-mobile.png,full_mobile,8.0,8.02,0,,gd_hierarchy:8.0; gd_typography:8.0; gd_contrast:8.0,8.1,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
index-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/index-01.png,hero_home,8.0,8.26,0,,gd_rhythm:8.0; gd_composition:8.2; gd_hierarchy:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.6,8.2,8.0,8.4,8.5,8.4,8.2,8.2,8.2,8.2,8.4,8.2,8.2,8.3,8.2,8.2,8.5,8.2,8.2,8.2,8.2,8.2,8.4,8.2
index-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/index-02.png,home_command,8.0,8.35,0,,gd_hierarchy:8.3; gd_spacing:8.3; gd_typography:8.3,8.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.3,8.6,8.3,8.3,8.4,8.3,8.3,8.5,8.3,8.3,8.3,8.6,8.3,8.3,8.3,8.3,8.3,8.3,8.6,8.3
index-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/index-03.png,image_band,8.0,8.26,0,,gd_hierarchy:8.2; gd_spacing:8.2; gd_typography:8.2,8.5,8.2,8.2,8.2,8.2,8.2,8.8,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.4,8.5,8.2,8.2,8.2,8.2,8.6,8.2,8.2,8.2,8.2
index-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/index-04.png,home_proof,8.0,8.24,0,,gd_rhythm:8.1; gd_hierarchy:8.2; gd_spacing:8.2,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.6,8.2,8.5,8.2,8.2,8.2,8.2,8.5,8.5,8.2,8.2,8.2,8.2,8.2,8.2
index-05.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/index-05.png,home_audience,8.0,8.17,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.6,8.1,8.1,8.1,8.1,8.6,8.6,8.1,8.1,8.4,8.1,8.1,8.1
index-06.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/index-06.png,close,8.0,8.15,0,,gd_composition:8.1; gd_hierarchy:8.1; gd_spacing:8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.2,8.1,8.3,8.6,8.4,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
index-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/index-full-desktop.png,full_desktop,8.0,8.14,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.4,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
index-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/index-full-mobile.png,full_mobile,8.0,8.02,0,,gd_hierarchy:8.0; gd_typography:8.0; gd_contrast:8.0,8.1,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
ownership-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-01.png,hero_ownership,8.0,8.28,0,,gd_rhythm:8.0; gd_composition:8.2; gd_hierarchy:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.4,8.2,8.0,8.4,8.2,8.2,8.2,8.2,8.2,8.5,8.2,8.6,8.2,8.2,8.2,8.2,8.8,8.8,8.2,8.2,8.2,8.6,8.2,8.2
ownership-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-02.png,ownership_split,8.0,8.31,0,,gd_hierarchy:8.2; gd_spacing:8.2; gd_typography:8.2,8.5,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.7,8.2,8.8,8.2,8.2,8.2,8.2,8.9,8.9,8.2,8.2,8.2,8.7,8.2,8.2
ownership-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-03.png,owners_lens,8.0,8.28,0,,gd_composition:8.2; gd_hierarchy:8.2; gd_spacing:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.5,8.2,8.7,8.2,8.2,8.2,8.2,8.9,8.2,8.2,8.2,8.7,8.6,8.2,8.2
ownership-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-04.png,cadence_board,8.0,8.21,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.4,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.7,8.1,8.1,8.1,8.6,8.1,8.1,8.1,8.1,8.7,8.7,8.5,8.1,8.1,8.1,8.1,8.1
ownership-05.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-05.png,departments_lens,8.0,8.28,0,,gd_composition:8.2; gd_hierarchy:8.2; gd_spacing:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.6,8.2,8.7,8.2,8.2,8.2,8.2,8.2,8.9,8.8,8.2,8.2,8.2,8.5,8.2
ownership-06.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-06.png,expectation_map,8.0,8.37,0,,gd_hierarchy:8.3; gd_spacing:8.3; gd_typography:8.3,8.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.6,8.3,8.3,8.8,8.3,8.3,8.3,8.3,8.8,8.8,8.3,8.3,8.3,8.5,8.3,8.3
ownership-07.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-07.png,close,8.0,8.15,0,,gd_composition:8.1; gd_hierarchy:8.1; gd_spacing:8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.2,8.1,8.3,8.6,8.4,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
ownership-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-full-desktop.png,full_desktop,8.0,8.14,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.4,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
ownership-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/ownership-full-mobile.png,full_mobile,8.0,8.02,0,,gd_hierarchy:8.0; gd_typography:8.0; gd_contrast:8.0,8.1,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
services-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/services-01.png,hero_services,8.0,8.25,0,,gd_rhythm:8.1; gd_composition:8.2; gd_hierarchy:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.5,8.2,8.1,8.4,8.4,8.5,8.2,8.2,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.6,8.2,8.2,8.4,8.2,8.2,8.2,8.2,8.2
services-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/services-02.png,services_deck,8.0,8.45,0,,gd_hierarchy:8.4; gd_spacing:8.4; gd_typography:8.4,8.7,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.6,8.4,8.7,8.4,8.4,8.6,8.4,8.5,8.4,8.4,8.4,8.4,8.8,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.5
services-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/services-03.png,service_runway,8.0,8.18,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.4,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.7,8.1,8.5,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.5,8.1,8.1,8.1,8.6,8.1
services-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/services-04.png,service_model,8.0,8.26,0,,gd_composition:8.2; gd_hierarchy:8.2; gd_spacing:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.5,8.2,8.2,8.2,8.2,8.4,8.2,8.2,8.2,8.2,8.2,8.7,8.2,8.2,8.2,8.2,8.5,8.5,8.2,8.2,8.4,8.2,8.2,8.2
services-05.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/services-05.png,close,8.0,8.15,0,,gd_composition:8.1; gd_hierarchy:8.1; gd_spacing:8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.2,8.1,8.3,8.6,8.4,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
services-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/services-full-desktop.png,full_desktop,8.0,8.14,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.4,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
services-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/services-full-mobile.png,full_mobile,8.0,8.02,0,,gd_hierarchy:8.0; gd_typography:8.0; gd_contrast:8.0,8.1,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
